Date,Open,High,Low,Close,Volume,OpenInt
2008-05-29,23.939,24.103,23.755,23.908,180316589,0
2008-05-30,24.012,24.273,23.995,24.171,169927452,0
2008-06-02,24.14,24.287,23.631,23.831,189380334,0
2008-06-03,23.935,24.103,23.353,23.738,209303027,0
2008-06-04,23.564,23.959,23.465,23.717,202738767,0
2008-06-05,23.853,24.313,23.781,24.258,210204143,0
2008-06-06,24.075,24.327,23.762,23.774,269046995,0
2008-06-09,23.682,23.685,22.505,23.257,526264929,0
2008-06-10,23.095,23.919,22.926,23.774,318040510,0
2008-06-11,23.607,23.819,22.996,23.156,267941514,0
2008-06-12,23.236,23.387,21.926,22.189,364403085,0
2008-06-13,21.961,22.303,21.171,22.074,375180778,0
2008-06-16,21.932,22.781,21.653,22.647,293123381,0
2008-06-17,22.817,23.304,22.719,23.233,250860097,0
2008-06-18,23.181,23.333,22.712,22.894,226169454,0
2008-06-19,22.857,23.353,22.642,23.167,220848579,0
2008-06-20,22.929,23.181,22.411,22.446,247567738,0
2008-06-23,22.383,22.523,21.97,22.174,180076401,0
2008-06-24,22.033,22.509,21.978,22.187,173441356,0
2008-06-25,22.346,22.904,22.268,22.716,179458876,0
2008-06-26,22.302,22.39,21.515,21.546,242173913,0
2008-06-27,21.314,21.842,21.022,21.78,289785857,0
2008-06-30,21.774,22.027,21.336,21.444,190779913,0
2008-07-01,21.009,22.376,21.002,22.37,309727561,0
2008-07-02,22.418,22.724,21.537,21.537,233567418,0
2008-07-03,21.717,22.047,21.228,21.785,145977693,0
2008-07-07,22.154,22.685,22.012,22.432,228559086,0
2008-07-08,22.462,23.012,22.123,22.993,247711824,0
2008-07-09,23.084,23.168,22.302,22.315,249550627,0
2008-07-10,22.399,22.71,21.947,22.621,234103082,0
2008-07-11,22.458,22.682,21.9,22.103,259219811,0
2008-07-14,22.954,22.962,22.164,22.268,246917000,0
2008-07-15,22.065,22.249,21.309,21.723,289877701,0
2008-07-16,21.779,22.146,21.59,22.133,208531685,0
2008-07-17,22.294,22.408,21.948,22.002,210793201,0
2008-07-18,21.542,21.724,21.13,21.148,240622373,0
2008-07-21,21.373,21.451,20.633,21.295,355311216,0
2008-07-22,19.07,20.844,18.767,20.749,523327034,0
2008-07-23,21.148,21.56,20.689,21.29,295362486,0
2008-07-24,21.04,21.164,20.292,20.366,234088625,0
2008-07-25,20.538,20.874,20.319,20.761,176473261,0
2008-07-28,20.769,20.805,19.724,19.773,217660487,0
2008-07-29,19.883,20.42,19.676,20.117,190706395,0
2008-07-30,20.195,20.555,19.989,20.473,201962288,0
2008-07-31,20.194,20.772,20.103,20.356,177591108,0
2008-08-01,20.482,20.489,19.946,20.062,151903672,0
2008-08-04,20.052,20.221,19.584,19.622,164769142,0
2008-08-05,19.914,20.592,19.827,20.572,191884653,0
2008-08-06,20.486,21.44,20.232,21.028,220670153,0
2008-08-07,20.86,21.28,20.682,20.948,187434681,0
2008-08-08,20.991,21.724,20.971,21.711,199068558,0
2008-08-11,21.785,22.603,21.727,22.227,248378005,0
2008-08-12,22.219,22.961,22.219,22.633,233132531,0
2008-08-13,22.8,23.051,22.525,22.962,234899860,0
2008-08-14,22.815,23.109,22.773,22.963,198233593,0
2008-08-15,22.932,23.019,22.418,22.504,197505890,0
2008-08-18,22.456,22.769,22.26,22.461,153762598,0
2008-08-19,22.324,22.676,22.002,22.222,171720613,0
2008-08-20,22.386,22.661,22.233,22.517,141359624,0
2008-08-21,22.358,22.468,22.011,22.321,150505318,0
2008-08-22,22.533,22.73,22.483,22.641,122599625,0
2008-08-25,22.527,22.567,21.983,22.098,135053284,0
2008-08-26,22.113,22.395,22.106,22.236,124228804,0
2008-08-27,22.174,22.507,22.049,22.369,132908992,0
2008-08-28,22.449,22.57,22.125,22.249,120173705,0
2008-08-29,22.136,22.218,21.648,21.708,167105545,0
2008-09-02,22.098,22.218,21.13,21.282,217702749,0
2008-09-03,21.385,21.6,21.002,21.379,204907079,0
2008-09-04,21.226,21.504,20.593,20.646,207165081,0
2008-09-05,20.277,20.798,20.189,20.513,219297935,0
2008-09-08,21.073,21.115,19.396,20.223,291658981,0
2008-09-09,20.088,20.485,19.181,19.424,346969505,0
2008-09-10,19.529,19.848,19.057,19.415,271372446,0
2008-09-11,19.415,19.594,18.696,19.549,270335199,0
2008-09-12,19.308,19.326,18.762,19.073,221108652,0
2008-09-15,18.182,18.911,17.974,17.974,256372856,0
2008-09-16,17.113,18.248,16.923,17.914,334214072,0
2008-09-17,17.715,17.736,16.369,16.369,334510649,0
2008-09-18,16.717,17.927,15.453,17.172,467053093,0
2008-09-19,18.029,18.467,17.454,18.046,398994981,0
2008-09-22,17.901,17.958,16.732,16.781,238697990,0
2008-09-23,16.853,17.391,16.22,16.243,356621023,0
2008-09-24,16.315,16.769,16.026,16.484,291932018,0
2008-09-25,16.654,17.26,16.46,16.897,279601969,0
2008-09-26,16.006,16.622,15.752,16.422,313910215,0
2008-09-29,15.302,15.326,12.882,13.48,730561989,0
2008-09-30,13.866,14.728,13.611,14.553,453452613,0
2008-10-01,14.326,14.388,13.754,13.976,361512816,0
2008-10-02,13.837,13.93,12.807,12.818,448680865,0
2008-10-03,13.321,13.638,12.121,12.428,639757618,0
2008-10-06,11.782,12.65,11.211,12.568,587522817,0
2008-10-07,12.872,12.997,11.392,11.419,523860280,0
2008-10-08,11.013,12.337,10.971,11.499,615651966,0
2008-10-09,11.974,12.267,11.09,11.363,451023268,0
2008-10-10,10.973,12.807,10.886,12.396,618829489,0
2008-10-13,13.42,14.155,12.935,14.118,429130693,0
2008-10-14,14.904,14.907,13.207,13.33,552442840,0
2008-10-15,13.298,13.702,12.538,12.547,441257577,0
2008-10-16,12.776,13.245,11.75,13.049,550850676,0
2008-10-17,12.734,13.068,10.999,12.473,491122629,0
2008-10-20,12.777,12.811,11.992,12.605,431324163,0
2008-10-21,12.413,12.54,11.674,11.717,571544296,0
2008-10-22,12.468,12.965,11.901,12.403,626569693,0
2008-10-23,12.362,12.71,11.768,12.579,466807754,0
2008-10-24,11.567,12.54,11.54,12.344,443250825,0
2008-10-27,12.175,12.503,11.764,11.793,337146846,0
2008-10-28,12.221,12.872,11.829,12.794,455823303,0
2008-10-29,12.902,14.029,12.798,13.387,544514103,0
2008-10-30,13.879,14.365,13.783,14.222,456651818,0
2008-10-31,13.751,14.187,13.466,13.78,459331042,0
2008-11-03,13.564,13.973,13.429,13.698,295013372,0
2008-11-04,14.084,14.315,13.66,14.215,390048641,0
2008-11-05,13.947,14.051,13.189,13.228,350386539,0
2008-11-06,12.938,13.161,12.553,12.691,367694616,0
2008-11-07,12.697,12.787,12.257,12.58,305554493,0
2008-11-10,12.846,12.859,12.102,12.278,313353655,0
2008-11-11,12.145,12.442,11.815,12.137,341407188,0
2008-11-12,11.844,11.94,11.527,11.541,328012870,0
2008-11-13,11.526,12.352,11.017,12.352,517036639,0
2008-11-14,11.991,12.036,11.526,11.555,391611734,0
2008-11-17,11.331,11.596,11.175,11.287,324174165,0
2008-11-18,11.474,11.654,11.122,11.514,337326468,0
2008-11-19,11.484,11.729,11.04,11.05,326763102,0
2008-11-20,10.896,11.071,10.245,10.307,478380668,0
2008-11-21,10.496,10.773,10.137,10.576,437504267,0
2008-11-24,10.899,12.14,10.864,11.903,402164449,0
2008-11-25,12.117,12.129,11.29,11.628,344471972,0
2008-11-26,11.539,12.198,11.507,12.167,250924090,0
2008-11-28,12.128,12.136,11.764,11.867,84001102,0
2008-12-01,11.695,11.816,11.388,11.389,257554120,0
2008-12-02,11.526,11.864,11.078,11.841,320308356,0
2008-12-03,11.444,12.325,11.371,12.281,373319724,0
2008-12-04,12.083,12.194,11.406,11.706,304352143,0
2008-12-05,11.563,12.101,11.379,12.037,291040322,0
2008-12-08,12.438,12.909,12.267,12.77,330201108,0
2008-12-09,12.548,13.269,12.448,12.814,335616400,0
2008-12-10,12.53,12.742,12.361,12.576,261554018,0
2008-12-11,12.439,12.964,12.145,12.167,290183330,0
2008-12-12,11.897,12.678,11.849,12.584,290360303,0
2008-12-15,12.292,12.322,11.91,12.135,248296843,0
2008-12-16,12.037,12.358,11.878,12.221,304842113,0
2008-12-17,11.655,11.666,11.274,11.419,360827582,0
2008-12-18,11.462,11.632,11.325,11.453,238829666,0
2008-12-19,11.525,11.647,11.371,11.526,223540440,0
2008-12-22,11.526,11.53,10.845,10.979,235579006,0
2008-12-23,11.139,11.254,11,11.062,177070536,0
2008-12-24,11.025,11.045,10.828,10.892,75705547,0
2008-12-26,11.084,11.196,10.916,10.988,85982781,0
2008-12-29,11.093,11.221,10.896,11.091,191306231,0
2008-12-30,11.196,11.277,10.849,11.05,269510759,0
2008-12-31,11.014,11.238,10.93,10.931,169432011,0
2009-01-02,10.959,11.659,10.907,11.622,208043955,0
2009-01-05,11.923,12.318,11.872,12.112,329453938,0
2009-01-06,12.289,12.442,11.831,11.912,359535607,0
2009-01-07,11.732,11.844,11.558,11.656,209985787,0
2009-01-08,11.584,11.928,11.531,11.871,184843882,0
2009-01-09,11.936,11.96,11.543,11.598,152459734,0
2009-01-12,11.583,11.654,11.213,11.353,171579281,0
2009-01-13,11.311,11.493,11.058,11.233,222068162,0
2009-01-14,11.044,11.174,10.849,10.928,282121166,0
2009-01-15,10.309,10.773,10.252,10.679,510782667,0
2009-01-16,10.792,10.806,10.295,10.543,292005908,0
2009-01-20,10.496,10.5,10.014,10.014,253140675,0
2009-01-21,10.18,10.614,10.156,10.608,298112397,0
2009-01-22,11.271,11.526,10.989,11.314,386943024,0
2009-01-23,11.134,11.509,11.078,11.314,211775201,0
2009-01-26,11.382,11.651,11.307,11.479,193041670,0
2009-01-27,11.539,11.725,11.493,11.619,169941977,0
2009-01-28,11.801,12.167,11.718,12.063,240218267,0
2009-01-29,11.92,12.081,11.858,11.91,164466842,0
2009-01-30,11.861,11.989,11.527,11.543,181673776,0
2009-02-02,11.399,11.782,11.385,11.719,155622254,0
2009-02-03,11.755,11.96,11.56,11.907,162584114,0
2009-02-04,11.951,12.327,11.921,11.98,224281427,0
2009-02-05,11.882,12.452,11.861,12.355,204875865,0
2009-02-06,12.428,12.807,12.42,12.77,188065177,0
2009-02-09,12.807,13.19,12.743,13.127,197915319,0
2009-02-10,12.954,13.127,12.427,12.53,233751877,0
